#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2020,1,1,10,20,224,3,3.9,99,99,99,999,1018.6,14.3,15.6,999,99,99
2020,1,1,10,30,221,3,4.3,99,99,99,999,1018.5,14.3,15.6,999,99,99
2020,1,1,10,40,227,3.7,4.8,1.48,13.79,7.73,257,1018.4,14.3,15.6,999,99,99
2020,1,1,10,50,229,3.3,4.2,99,99,99,999,1018.3,14.4,15.6,999,99,99
2020,1,1,11,0,246,2.5,3.7,99,99,99,999,1018.1,14.3,15.6,999,99,99
2020,1,1,11,10,244,2.3,3.3,99,99,99,999,1018.2,14.3,15.6,999,99,99
2020,1,1,11,20,261,2.2,3.1,99,99,99,999,1018.4,14.4,15.6,999,99,99
2020,1,1,11,30,299,1.6,2.9,99,99,99,999,1018.3,14.4,15.6,999,99,99
2020,1,1,11,40,308,2.2,3.3,1.58,13.79,8.11,267,1018.5,14.4,15.5,999,99,99
2020,1,1,11,50,312,1.8,3.8,99,99,99,999,1017.9,14.4,15.5,14.4,99,99
2020,1,1,12,0,317,1.7,2.5,99,99,99,999,1018,14.4,15.5,14.4,99,99
2020,1,1,12,10,321,1.5,2.6,99,99,99,999,1018,14.4,15.5,999,99,99
2020,1,1,12,20,326,1.5,2.5,99,99,99,999,1018.1,14.2,15.5,14.2,99,99
2020,1,1,12,30,319,2,2.9,99,99,99,999,1018.1,13.9,15.4,13.2,99,99
2020,1,1,12,40,307,1.4,2.4,1.77,13.79,8.68,268,1018,14.3,15.4,13.6,99,99
2020,1,1,12,50,289,2,3.1,99,99,99,999,1018.2,14.4,15.5,13.8,99,99
2020,1,1,13,0,280,1.9,3.3,99,99,99,999,1018.5,14.4,15.5,13.8,99,99
2020,1,1,13,10,267,2.7,4,99,99,99,999,1018.6,14.4,15.5,13.3,99,99
2020,1,1,13,20,264,2.9,4.2,99,99,99,999,1018.4,14.5,15.5,12.8,99,99
2020,1,1,13,30,282,2.8,4.3,99,99,99,999,1018.3,14.4,15.5,11.8,99,99
2020,1,1,13,40,302,0.8,3.1,1.69,13.79,8.41,250,1018,14.5,15.5,11.2,99,99
2020,1,1,13,50,163,0,0.7,99,99,99,999,1017.7,14.4,15.5,11,99,99
2020,1,1,14,0,189,0.6,1.3,99,99,99,999,1017.6,14.5,15.5,11.1,99,99
2020,1,1,14,10,160,1,2,99,99,99,999,1017.5,14.5,15.6,10.9,99,99
2020,1,1,14,20,164,2.3,3.9,99,99,99,999,1017.2,14.7,15.6,11.6,99,99
2020,1,1,14,30,179,3.5,4.2,99,99,99,999,1017.3,14.6,15.6,13.3,99,99
2020,1,1,14,40,181,3.5,4.3,1.59,13.79,8.36,241,1017.3,14.3,15.5,13.6,99,99
2020,1,1,14,50,181,2.9,4.3,99,99,99,999,1017.4,14.2,15.5,13.7,99,99
2020,1,1,15,0,207,3.3,4.5,99,99,99,999,1017.8,14.3,15.4,13.1,99,99
2020,1,1,15,10,226,3.5,4.6,99,99,99,999,1017.9,14.6,15.4,12.7,99,99
2020,1,1,15,20,228,2.8,4.1,99,99,99,999,1018,14.7,15.4,12.7,99,99
2020,1,1,15,30,237,1.9,3.5,99,99,99,999,1018.3,14.6,15.3,12.7,99,99
2020,1,1,15,40,242,1,2.1,1.63,12.9,8.49,270,1018.3,14.6,15.4,12.5,99,99
2020,1,1,15,50,266,0.6,1.7,99,99,99,999,1018.4,14.8,15.4,12.7,99,99
2020,1,1,16,0,11,0.1,0.4,99,99,99,999,1018.5,14.8,15.4,12.5,99,99
2020,1,1,16,10,21,0.3,1.1,99,99,99,999,1018.5,15,15.4,12.7,99,99
2020,1,1,16,20,66,1.6,3,99,99,99,999,1018.3,15.1,15.4,12.8,99,99
2020,1,1,16,30,87,2.2,3.3,99,99,99,999,1018.3,15.1,15.4,13,99,99
2020,1,1,16,40,131,1.7,2.5,1.59,12.12,8.08,266,1018.5,15.3,15.3,12.9,99,99
2020,1,1,16,50,123,1.7,2.7,99,99,99,999,1018.5,15.3,15.4,12.8,99,99
2020,1,1,17,0,123,2.1,3.4,99,99,99,999,1018.6,15.2,15.4,13,99,99
2020,1,1,17,10,98,1.8,3.2,99,99,99,999,1018.9,15.1,15.4,13.1,99,99
2020,1,1,17,20,104,1.5,3,99,99,99,999,1019.1,15.2,15.4,13.1,99,99
2020,1,1,17,30,98,0.8,2,99,99,99,999,1019.3,15.5,15.4,13,99,99
2020,1,1,17,40,82,1,2.3,1.75,23.53,8.29,212,1019.3,15.5,15.4,12.8,99,99
2020,1,1,17,50,127,1,2.5,99,99,99,999,1018.9,15.4,15.4,12.2,99,99
2020,1,1,18,0,172,1,1.7,99,99,99,999,1018.8,15.5,15.4,11.8,99,99
2020,1,1,18,10,183,1.3,2,99,99,99,999,1018.9,15.4,15.4,11.7,99,99
2020,1,1,18,20,217,0.7,1.5,99,99,99,999,1018.7,15.4,15.4,11.7,99,99
2020,1,1,18,30,188,0.6,1.2,99,99,99,999,1018.4,15.5,15.5,11.7,99,99
2020,1,1,18,40,249,0.2,1.3,1.6,12.9,7.82,253,1018.7,16,15.5,11.8,99,99
2020,1,1,18,50,317,1.1,2.7,99,99,99,999,1018.9,15.5,15.5,11.7,99,99
2020,1,1,19,0,326,2.3,3.2,99,99,99,999,1018.8,15.2,15.5,12.1,99,99
2020,1,1,19,10,346,2,3,99,99,99,999,1018.3,15.1,15.5,12.5,99,99
2020,1,1,19,20,10,1.3,2.3,99,99,99,999,1017.7,15.2,15.5,12.7,99,99
2020,1,1,19,30,343,0.1,1.2,99,99,99,999,1017.5,15.5,15.5,12.8,99,99
2020,1,1,19,40,312,0.3,1.4,1.81,21.05,8.08,296,1017.3,15.7,15.5,12.7,99,99
2020,1,1,19,50,359,1.1,2,99,99,99,999,1017.3,15.5,15.5,12.7,99,99
2020,1,1,20,0,338,0.8,1.5,99,99,99,999,1017.1,15.4,15.5,12.9,99,99
2020,1,1,20,10,311,0.6,1.3,99,99,99,999,1017.2,15.5,15.5,13,99,99
2020,1,1,20,20,317,0.8,1.7,99,99,99,999,1017,15.5,15.5,13.2,99,99
2020,1,1,20,30,281,1.4,2.5,99,99,99,999,1016.6,15.5,15.6,13.4,99,99
2020,1,1,20,40,281,2.3,3.4,1.84,21.05,8.15,44,1016.6,15.3,15.5,13.5,99,99
2020,1,1,20,50,288,3.8,5.6,99,99,99,999,1016.9,15.1,15.6,13.7,99,99
2020,1,1,21,0,291,5.1,6.5,99,99,99,999,1016.9,14.8,15.7,14,99,99
2020,1,1,21,10,298,4.3,5.9,99,99,99,999,1016.6,14.6,15.6,13.5,99,99
2020,1,1,21,20,296,2.7,4.3,99,99,99,999,1016.2,14.9,15.5,13.2,99,99
2020,1,1,21,30,274,2.2,3.2,99,99,99,999,1015.7,15.2,15.5,12.8,99,99
